,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,state,time
153,-34.958,150.175,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,311.3,446.1,D,New South Wales,2019-12
154,-34.96,150.193,low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,299.0,579.5,D,New South Wales,2019-12
155,-34.968,150.158,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,302.5,170.8,D,New South Wales,2019-12
156,-34.969,150.174,low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,65,6.0NRT,297.0,86.9,D,New South Wales,2019-12
157,-34.971,150.19,low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,59,6.0NRT,293.4,64.0,D,New South Wales,2019-12
158,-34.989,150.154,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,88,6.0NRT,300.1,82.5,D,New South Wales,2019-12
159,-34.991,150.171,very low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,45,6.0NRT,287.3,34.4,D,New South Wales,2019-12
160,-35.006,150.104,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,62,6.0NRT,300.7,27.8,D,New South Wales,2019-12
161,-35.008,150.12,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,69,6.0NRT,300.8,42.2,D,New South Wales,2019-12
162,-35.247,150.017,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,82,6.0NRT,304.9,26.8,D,New South Wales,2019-12
163,-37.328,148.52,very low,1.3,1.1,2019-12-29,1970-01-01 00:00:00.000000025,T,48,6.0NRT,281.3,13.2,D,Victoria,2019-12
164,-37.41,147.742,low,1.2,1.1,2019-12-29,1970-01-01 00:00:00.000000025,T,71,6.0NRT,292.0,29.5,D,Victoria,2019-12
165,-37.595,149.421,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,87,6.0NRT,294.3,52.6,D,Victoria,2019-12
166,-37.597,149.438,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,65,6.0NRT,294.6,26.3,D,Victoria,2019-12
167,-37.42,147.74,very low,1.2,1.1,2019-12-29,1970-01-01 00:00:00.000000025,T,0,6.0NRT,289.5,33.5,D,Victoria,2019-12
